Generation,Mean_Fit,Master_Fit,Max_Fit,Flips,Flip_Rate,Threshold,Time
321,-280.9,-238.7,-173.6,87,5.22,19.9,6.29
322,-274.9,-233.3,-149.0,85,5.10,19.9,3.28
323,-280.4,-261.8,-166.2,83,4.98,19.9,4.13
324,-278.6,-260.7,-182.0,84,5.04,19.9,6.26
325,-285.2,-123.4,-123.4,77,4.62,19.8,3.46
326,-285.9,-266.2,-160.6,84,5.04,19.8,3.20
327,-294.1,-239.9,-153.8,92,5.52,19.9,9.78
328,-292.8,-284.2,-167.4,64,3.84,19.7,3.92
329,-286.2,-220.2,-115.8,81,4.86,19.7,3.59
330,-298.0,-246.9,-186.7,83,4.98,19.7,4.46
331,-302.6,-257.9,-183.3,77,4.62,19.6,3.38
332,-307.4,-231.8,-175.2,74,4.44,19.5,3.55
333,-321.5,-273.4,-156.9,84,5.04,19.5,3.63
334,-314.6,-290.5,-101.5,96,5.76,19.6,9.27
335,-322.4,-259.9,-153.9,89,5.34,19.7,4.84
336,-320.5,-212.0,-135.9,86,5.16,19.7,3.39
337,-347.8,-277.4,-155.8,74,4.44,19.6,9.24
338,-329.0,-344.1,-153.4,86,5.16,19.7,3.14
339,-338.7,-293.9,-175.1,87,5.22,19.7,3.67
340,-340.1,-401.9,-145.1,81,4.86,19.7,5.42
341,-341.3,-355.3,-185.7,96,5.76,19.8,5.45
342,-356.1,-265.2,-156.4,83,4.98,19.8,6.16
343,-364.9,-521.5,-170.1,84,5.04,19.8,6.18
344,-364.4,-264.9,-171.7,79,4.74,19.8,9.42
345,-367.3,-419.1,-117.2,73,4.38,19.7,3.33
346,-358.0,-385.3,-119.6,84,5.04,19.7,3.34
347,-374.6,-388.1,-147.9,103,6.18,19.9,9.33
348,-374.0,-628.4,-141.2,92,5.52,20.0,3.67
349,-366.0,-529.0,-159.4,72,4.32,19.9,5.09
350,-379.6,-253.5,-169.6,86,5.16,19.9,3.33
351,-371.0,-463.5,-171.7,101,6.06,20.1,3.35
352,-386.5,-428.9,-174.0,67,4.02,19.9,3.56
353,-381.1,-295.9,-129.9,95,5.70,20.0,3.28
354,-371.9,-266.1,-136.7,85,5.10,20.1,3.25
355,-382.1,-303.9,-156.7,77,4.62,20.0,3.34
356,-388.6,-400.2,-119.4,74,4.44,19.9,5.93
357,-383.2,-235.6,-151.4,73,4.38,19.7,3.35
358,-380.7,-492.9,-173.5,86,5.16,19.8,4.44
359,-378.1,-356.1,-109.4,100,6.00,20.0,3.42
360,-382.9,-320.4,-107.5,84,5.04,20.0,3.86
361,-397.3,-209.0,-135.7,86,5.16,20.0,4.32
362,-384.4,-216.2,-155.1,74,4.44,19.9,4.50
363,-400.7,-380.0,-167.1,99,5.94,20.1,3.39
364,-400.5,-356.2,-146.2,66,3.96,19.9,3.11
365,-386.9,-362.0,-104.1,91,5.46,20.0,3.26
366,-408.3,-309.1,-126.4,65,3.90,19.7,3.93
367,-405.9,-393.3,-149.6,82,4.92,19.7,3.17
368,-389.1,-478.9,-136.6,83,4.98,19.7,4.05
369,-407.6,-600.4,-112.8,74,4.44,19.6,3.69
370,-402.5,-433.9,-123.2,88,5.28,19.7,3.57
371,-403.4,-294.2,-149.9,102,6.12,19.9,4.03
372,-380.9,-186.2,-166.1,78,4.68,19.8,3.62
373,-398.1,-259.3,-131.9,73,4.38,19.7,3.74
374,-388.2,-296.5,-133.1,82,4.92,19.7,3.83
375,-398.3,-409.8,-125.4,79,4.74,19.6,4.36
376,-398.1,-206.2,-138.8,84,5.04,19.6,3.72
377,-381.8,-435.2,-109.9,90,5.40,19.7,3.65
378,-389.8,-435.3,-146.9,73,4.38,19.6,3.52
379,-377.0,-465.8,-109.9,107,6.41,19.9,3.48
380,-386.5,-450.0,-110.1,81,4.86,19.8,3.63
381,-384.5,-326.0,-131.4,87,5.22,19.9,3.43
382,-380.4,-212.0,-62.0,86,5.16,19.9,3.87
383,-374.1,-296.0,-124.9,69,4.14,19.7,3.56
384,-385.1,-390.9,-38.7,82,4.92,19.7,3.36
385,-378.2,-246.1,-113.3,105,6.29,20.0,3.65
386,-376.7,-231.5,-137.7,80,4.80,19.9,3.54
387,-394.5,-555.7,-79.0,82,4.92,19.9,3.63
388,-375.5,-452.9,-64.7,81,4.86,19.9,3.66
389,-396.6,-437.0,-60.4,80,4.80,19.9,3.91
390,-421.1,-479.5,-111.4,89,5.34,19.9,4.29
391,-405.9,-405.2,-56.9,74,4.44,19.8,4.72
392,-405.3,-576.2,-58.6,74,4.44,19.7,3.91
393,-430.8,-419.3,-93.1,76,4.56,19.6,4.34
394,-429.4,-504.3,-85.6,82,4.92,19.6,4.14
395,-426.4,-604.3,-61.8,80,4.80,19.6,4.05
396,-451.3,-749.4,-85.2,95,5.70,19.7,7.25
397,-451.7,-175.3,-79.7,72,4.32,19.6,4.66
398,-463.4,-529.7,-74.4,84,5.04,19.6,3.72
399,-484.7,-112.8,-112.8,78,4.68,19.5,6.93
400,-483.0,-497.8,-113.0,80,4.80,19.5,4.23
401,-498.4,-571.2,-84.9,86,5.16,19.5,5.04
402,-504.4,-570.0,-46.2,78,4.68,19.4,7.29
403,-519.2,-474.3,-109.0,83,4.98,19.4,3.81
404,-507.5,-494.1,-88.9,88,5.28,19.5,7.18
