Starting PRIME Symbolic Regression...
Gen 1190 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.8 | Eq: INVALID
Gen 1200 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  14.9 | Eq: INVALID
Gen 1210 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.2 | Eq: INVALID
Gen 1220 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  20.2 | Eq: INVALID
Gen 1230 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.9 | Eq: INVALID
Gen 1240 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.2 | Eq: INVALID
Gen 1250 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  3 | Thresh:  18.5 | Eq: INVALID
Gen 1260 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  15.5 | Eq: INVALID
Gen 1270 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.8 | Eq: INVALID
Gen 1280 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.0 | Eq: INVALID
Gen 1290 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  13.9 | Eq: INVALID
Gen 1300 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  18.4 | Eq: INVALID
Gen 1310 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.4 | Eq: INVALID
Gen 1320 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.6 | Eq: INVALID
Gen 1330 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  18.1 | Eq: INVALID
Gen 1340 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  17.3 | Eq: INVALID
Gen 1350 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  18.6 | Eq: INVALID
Gen 1360 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.7 | Eq: INVALID
Gen 1370 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  14.0 | Eq: INVALID
Gen 1380 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.3 | Eq: INVALID
Gen 1390 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  15.6 | Eq: INVALID
Gen 1400 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  15.9 | Eq: INVALID
Gen 1410 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  18.3 | Eq: INVALID
Gen 1420 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.3 | Eq: INVALID
Gen 1430 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.6 | Eq: INVALID
Gen 1440 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.7 | Eq: INVALID
Gen 1450 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.9 | Eq: INVALID
Gen 1460 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.4 | Eq: INVALID
Gen 1470 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.5 | Eq: INVALID
Gen 1480 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  13.7 | Eq: INVALID
Gen 1490 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  19.1 | Eq: INVALID
Gen 1500 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.0 | Eq: INVALID
Gen 1510 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.2 | Eq: INVALID
Gen 1520 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  15.6 | Eq: INVALID
Gen 1530 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  14.9 | Eq: INVALID
Gen 1540 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.4 | Eq: INVALID
Gen 1550 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.4 | Eq: INVALID
Gen 1560 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  17.8 | Eq: INVALID
Gen 1570 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.9 | Eq: INVALID
Gen 1580 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.2 | Eq: INVALID
Gen 1590 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  14.5 | Eq: INVALID
Gen 1600 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.0 | Eq: INVALID
Gen 1610 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.1 | Eq: INVALID
Gen 1620 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  14.5 | Eq: INVALID
Gen 1630 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  3 | Thresh:  18.8 | Eq: INVALID
Gen 1640 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  16.8 | Eq: INVALID
Gen 1650 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  14.1 | Eq: INVALID
Gen 1660 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  14.4 | Eq: INVALID
Gen 1670 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  14.6 | Eq: INVALID
Gen 1680 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.0 | Eq: INVALID
