corruption_distance,initial_MSE,minimum_MSE_ever,generation_of_minimum,final_MSE,exact_hit_ever,first_exact_hit_gen,number_of_exact_hits,exact_retained,maximum_delta_J
1,110.30239,90.24576,0,1000000000.00000,False,-1,0,False,20.05663
1,84.70797,0.03500,0,1000000000.00000,True,0,1,False,84.67297
1,134.13847,89.99744,0,1000000000.00000,False,-1,0,False,44.14103
1,1000000000.00000,0.03500,0,1000000000.00000,True,0,1,False,999999999.96500
1,212.01289,0.04000,1,1000000000.00000,True,1,1,False,211.97289
1,1000000000.00000,107.99966,4,1000000000.00000,False,-1,0,False,999999892.00034
1,54.64013,54.64013,0,1000000000.00000,False,-1,0,False,0.00000
1,337.62064,92.51377,0,1000000000.00000,False,-1,0,False,245.10686
1,1000000000.00000,158.50163,32,1000000000.00000,False,-1,0,False,999999841.49837
1,1000000000.00000,114.62944,13,1000000000.00000,False,-1,0,False,999999885.37056
1,1000000000.00000,131.11447,73,254.90181,False,-1,0,False,999999868.88553
1,1000000000.00000,0.03500,0,1000000000.00000,True,0,2,False,999999999.96500
1,1000000000.00000,79.48299,128,1000000000.00000,False,-1,0,False,999999920.51701
1,155.66695,0.03500,0,1000000000.00000,True,0,2,False,155.63195
1,134.13847,0.03500,0,1000000000.00000,True,0,2,False,134.10347
1,212.01289,169.14297,177,1000000000.00000,False,-1,0,False,42.86992
1,1000000000.00000,54.63013,7,1000000000.00000,False,-1,0,False,999999945.36987
1,134.13847,134.13847,0,1000000000.00000,False,-1,0,False,0.00000
1,214.00467,54.64013,0,1000000000.00000,False,-1,0,False,159.36454
1,1000000000.00000,54.64013,1,1000000000.00000,False,-1,0,False,999999945.35987
1,1000000000.00000,148.13863,1,1000000000.00000,False,-1,0,False,999999851.86137
1,1000000000.00000,160.13214,88,1000000000.00000,False,-1,0,False,999999839.86786
1,1000000000.00000,0.03500,1,1000000000.00000,True,1,2,False,999999999.96500
1,84.70797,0.03500,0,1000000000.00000,True,0,2,False,84.67297
1,1000000000.00000,191.57434,140,1000000000.00000,False,-1,0,False,999999808.42566
1,1000000000.00000,193.06889,42,1000000000.00000,False,-1,0,False,999999806.93111
1,1000000000.00000,80.83295,2,1000000000.00000,False,-1,0,False,999999919.16705
1,1000000000.00000,135.80182,136,1000000000.00000,False,-1,0,False,999999864.19818
1,155.66695,0.04000,0,1000000000.00000,True,0,1,False,155.62695
1,102.66048,102.66048,0,1000000000.00000,False,-1,0,False,0.00000
1,1000000000.00000,54.64013,0,1000000000.00000,False,-1,0,False,999999945.35987
1,1000000000.00000,54.64013,0,1000000000.00000,False,-1,0,False,999999945.35987
1,131.94560,84.70797,26,1000000000.00000,False,-1,0,False,47.23763
1,1000000000.00000,79.01809,3,237.67636,False,-1,0,False,999999920.98191
1,1000000000.00000,124.51730,0,1000000000.00000,False,-1,0,False,999999875.48270
1,1000000000.00000,52.73274,4,1000000000.00000,False,-1,0,False,999999947.26726
1,1000000000.00000,147.51680,77,1000000000.00000,False,-1,0,False,999999852.48320
1,155.66695,134.13847,0,1000000000.00000,False,-1,0,False,21.52847
1,178.61301,101.31597,1,1000000000.00000,False,-1,0,False,77.29704
1,1000000000.00000,150.27626,16,1000000000.00000,False,-1,0,False,999999849.72374
1,234.68857,0.03500,0,1000000000.00000,True,0,2,False,234.65357
1,1000000000.00000,205.48181,2,1000000000.00000,False,-1,0,False,999999794.51819
1,1000000000.00000,79.01308,6,1000000000.00000,False,-1,0,False,999999920.98692
1,301.54605,124.51730,0,237.69635,False,-1,0,False,177.02876
1,1000000000.00000,176.40718,6,1000000000.00000,False,-1,0,False,999999823.59282
1,1000000000.00000,179.69377,81,1000000000.00000,False,-1,0,False,999999820.30623
1,1000000000.00000,87.24459,2,292.05374,False,-1,0,False,999999912.75541
1,1000000000.00000,79.01809,8,1000000000.00000,False,-1,0,False,999999920.98191
1,1000000000.00000,87.81805,2,1000000000.00000,False,-1,0,False,999999912.18195
1,1000000000.00000,0.03500,2,1000000000.00000,True,0,2,False,999999999.96500
1,1000000000.00000,162.73619,5,1000000000.00000,False,-1,0,False,999999837.26381
1,155.66695,134.13847,0,1000000000.00000,False,-1,0,False,21.52847
1,79.02309,79.02309,0,1000000000.00000,False,-1,0,False,0.00000
1,1000000000.00000,87.81961,142,1000000000.00000,False,-1,0,False,999999912.18039
1,1000000000.00000,188.41191,171,237.73651,False,-1,0,False,999999811.58809
